"Time","sensor-readings.reading"
1652122025000,20
1652122672000,19.8
1652123219000,20
1652123812000,19.8
1652131652000,19.6
1652132858000,19.8
1652134016000,19.6
1652148421000,19.4
1652149045000,19.6
1652150847000,19.4
1652151417000,19.6
1652152011000,19.4
1652164617000,19.6
1652166423000,19.8
1652169462000,20
1652170016000,19.8
1652170616000,20
1652174241000,20.2
1652176020000,20.4
1652177218000,20.6
1652183251000,20.8
1652183823000,20.6
1652185021000,20.8
1652190423000,21
1652191037000,20.8
1652191628000,21
1652196413000,20.8
1652197030000,21
1652197616000,20.8
1652203027000,20.6
1652205417000,20.4
1652211427000,20.2
1652221020000,20
1652221615000,20.2
1652224624000,20
1652227020000,20.2
1652227618000,20
1652240816000,19.8
1652241436000,20
1652248050000,19.8
1652249242000,20
1652251059000,19.8
1652252856000,20
1652254007000,20.2
1652256408000,20.4
1652257615000,20.6
1652259464000,20.8
1652260618000,20.6
1652261239000,20.8
1652262408000,21
1652263009000,20.8
1652264206000,21
1652264812000,20.8
1652265408000,21
1652267226000,21.2
1652269022000,21.4
1652269618000,21.2
1652270221000,21.4
1652273224000,21.6
1652275019000,21.4
1652278628000,21.2
1652281038000,21.4
1652284027000,21.6
1652284635000,21.4
1652285821000,21.2
1652289410000,21
1652296055000,20.8
1652296660000,21
1652297201000,20.8
1652311019000,20.6
1652311619000,20.8
1652312207000,20.6
1652312859000,20.8
1652315819000,20.6
1652317620000,20.8
1652318826000,20.6
1652339219000,20.8
1652339818000,21
1652341027000,21.2
1652341618000,21.4
1652345803000,21.6
1652347016000,21.8
1652350021000,22
1652351838000,21.8
1652352409000,22
1652526090000,0
1652526141000,21.8
1652530027000,22
1652530650000,21.8
1652533026000,22
1652534209000,21.8
1652534825000,22
1652542643000,22.2
1652544412000,22
1652553414000,21.8
1652554005000,22
1652555210000,21.8
1652555815000,22
1652557038000,21.8
1652575628000,21.6
1652576848000,21.8
1652577402000,21.6
1652578047000,21.8
1652579823000,21.6
1652580409000,21.8
1652582808000,21.6
1652586411000,21.8
1652587008000,21.6
1652597797000,21.8
1652606858000,22
1652607446000,21.8
1652608044000,22
1652620671000,22.2
1652621802000,22
1652622401000,22.2
1652623044000,22
1652624203000,22.2
1652636813000,22
1652637435000,22.2
1652641006000,22
1652644052000,22.2
1652644604000,22
1652668044000,21.8
1652669237000,22
1652672200000,21.8
1652673413000,22
1652675212000,21.8
1652675816000,22
1652677015000,21.8
1652678801000,22
1652679437000,21.8
1652680007000,22
1652685398000,22.2
1652688443000,22.4
1652689939000,22.4
1652691425000,22.6
1652694440000,22.8
1652701604000,23
1652703993000,23.2
1652707024000,23
1652710591000,22.8
1652711192000,23
1652712392000,22.8
1652713039000,23
1652714245000,22.8
1652717240000,22.6
1652717804000,22.8
1652718410000,22.6
1652719025000,22.8
1652724997000,23
1652725613000,22.8
1652729838000,22.6
1652739431000,22.4
1652739992000,22.6
1652740599000,22.4
1652744237000,22.6
1652744818000,22.4
1652745398000,22.6
1652745999000,22.4
1652761633000,22.2
1652762195000,22.4
1652763406000,22.2
1652764011000,22.4
1652765853000,22.4
1652770636000,22.6
1652774199000,22.8
1652777192000,23
1652778392000,22.8
1652779016000,23
1652781426000,23.2
1652791111000,23.2
1652791736000,23.2
1652791987000,23.2
1652792308000,23.2
1652792591000,23.2
1652792977000,23.2
1652802999000,23
1652803637000,23.2
1652804191000,23
1652809037000,22.8
1652809623000,23
1652810876000,22.8
1652828786000,22.6
1652830007000,22.8
1652830595000,22.6
1652832476000,22.8
1652832998000,22.6
1652834793000,22.8
1652836015000,22.6
1652851010000,22.4
1652852195000,22.6
1652859426000,22.2
1652860007000,22
1652860645000,22.2
1652861861000,22.4
1652862415000,22.6
1652864193000,22.8
1652867186000,23
1652871404000,23.2
1652871990000,23
1652873788000,23.2
1652877431000,23.4
1652878031000,23.2
1652887594000,23.4
1652890587000,23.2
1652894192000,23
1652902026000,22.8
1652909229000,22.6
1652909821000,22.8
1652911614000,22.6
1652914030000,22.8
1652914599000,22.6
1652924184000,22.4
1652925386000,22.6
