Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 08/01  21:00:00,32.5,0.0,0.0,0.0,21.89954908568082,22.0,0.0,283.3459922720105 
 08/01  22:00:00,30.958333333333332,0.0,0.0,0.0,21.999999999828685,22.0,0.0,396.3378573277045 
 08/01  23:00:00,28.45,0.0,0.0,0.0,22.0,22.0,0.0,390.3404380054667 
 08/01  24:00:00,25.891666666666666,0.0,0.0,0.0,22.0,22.0,0.0,359.55770952913866 
 08/02  01:00:00,24.599999999999998,0.0,0.0,0.0,22.900623161834734,23.0,0.0,87.66639136054319 
 08/02  02:00:00,24.36666666666667,0.0,0.0,0.0,22.99999999999989,23.0,0.0,111.68777409184617 
 08/02  03:00:00,24.258333333333336,0.0,0.0,0.0,23.0,23.0,0.0,93.5648144384415 
 08/02  04:00:00,23.71666666666667,0.0,0.0,0.0,23.0,23.0,0.0,65.20788177031413 
 08/02  05:00:00,23.474999999999998,0.4166666666666667,15.833333333333334,0.0,23.0,23.0,0.0,33.90193787433977 
 08/02  06:00:00,23.599999999999998,9.75,159.66666666666666,0.0,23.0,23.0,0.0,8.279806466689502 
 08/02  07:00:00,24.125,46.5,453.75,0.0,23.0,23.0,0.0,4.177035115734433 
 08/02  08:00:00,25.900000000000002,78.83333333333333,647.6666666666666,0.0,23.0,23.0,0.0,34.960963693389594 
 08/02  09:00:00,27.541666666666668,113.5,687.4166666666666,4.199999999999999,23.0,23.0,0.9999999999999999,75.77834767282596 
 08/02  10:00:00,30.450000000000006,133.0,742.0833333333334,4.199999999999999,18.95939143049999,19.0,0.9999999999999999,1189.0966852030067 
 08/02  11:00:00,32.666666666666664,135.91666666666666,810.0833333333334,4.199999999999999,18.999995674942635,19.0,0.9999999999999999,878.6064295559091 
 08/02  12:00:00,34.63333333333333,148.41666666666666,823.0833333333334,4.199999999999999,18.999999999953012,19.0,0.9999999999999999,836.9313955392003 
 08/02  13:00:00,35.68333333333333,186.66666666666666,757.4166666666666,2.4000000000000004,20.417866412138938,20.5,0.9999999999999999,405.58492968993124 
 08/02  14:00:00,35.65833333333333,290.25,529.5833333333334,2.4000000000000004,20.499999999676255,20.5,0.9999999999999999,577.3972054139575 
 08/02  15:00:00,35.46666666666667,389.75,239.5,2.4000000000000004,20.5,20.5,0.9999999999999999,658.1482236662296 
 08/02  16:00:00,35.125,361.1666666666667,83.16666666666667,2.4000000000000004,20.5,20.5,0.9999999999999999,700.2776034433191 
 08/02  17:00:00,33.19166666666667,259.0833333333333,25.916666666666668,2.4000000000000004,20.5,20.5,0.9999999999999999,706.919515951335 
 08/02  18:00:00,31.316666666666666,155.33333333333334,8.666666666666666,0.0,20.5,20.5,0.0,689.1158426432575 
 08/02  19:00:00,30.84166666666667,76.0,4.166666666666667,0.0,20.5,20.5,0.0,674.9145923987161 
 08/02  20:00:00,29.28333333333333,12.749999999999998,1.0833333333333333,0.0,20.5,20.5,0.0,641.1610396330033 
 08/02  21:00:00,27.90833333333333,0.0,0.0,0.0,21.88248268051157,22.0,0.0,217.52931157369198 
 08/02  22:00:00,26.825,0.0,0.0,0.0,21.999999999999982,22.0,0.0,295.839550675985 
 08/02  23:00:00,25.849999999999998,0.0,0.0,0.0,22.0,22.0,0.0,295.4699078967247 
 08/02  24:00:00,24.783333333333335,0.0,0.0,0.0,22.0,22.0,0.0,272.6215170296304 
 08/03  01:00:00,24.316666666666663,0.0,0.0,0.0,22.852175332306587,23.0,0.0,18.593246801325268 
 08/03  02:00:00,23.991666666666664,0.0,0.0,0.0,22.999999999999986,23.0,0.0,39.279969657404216 
 08/03  03:00:00,23.525000000000002,0.0,0.0,0.0,23.0,23.0,0.0,27.449753585001748 
 08/03  04:00:00,22.875,0.0,0.0,0.0,22.997197110170294,23.0,0.0,5.77936689494861 
 08/03  05:00:00,22.38333333333334,0.8333333333333334,12.916666666666666,0.0,22.919648610306968,23.0,0.0,0.0 
 08/03  06:00:00,22.183333333333334,15.666666666666666,126.25,0.0,22.801497971682195,23.0,0.0,0.0 
 08/03  07:00:00,22.21666666666667,67.08333333333333,352.1666666666667,0.0,22.73672177545011,23.0,0.0,0.0 
 08/03  08:00:00,23.758333333333336,99.41666666666667,541.6666666666666,0.0,22.805313113524345,23.0,0.0,0.0 
 08/03  09:00:00,25.90833333333333,120.83333333333333,655.4166666666666,4.199999999999999,22.966062675403293,23.0,0.9999999999999999,7.020415742457814 
 08/03  10:00:00,29.5,126.75,759.5833333333334,4.199999999999999,18.921902679266967,19.0,0.9999999999999999,1100.7174791028194 
 08/03  11:00:00,32.31666666666667,128.91666666666666,833.6666666666666,4.199999999999999,18.999993032400763,19.0,0.9999999999999999,828.7301755733826 
 08/03  12:00:00,34.766666666666666,155.0,813.25,4.199999999999999,18.999999999940506,19.0,0.9999999999999999,800.3987553576907 
 08/03  13:00:00,36.1,264.0833333333333,597.0,2.4000000000000004,20.413968024473338,20.5,0.9999999999999999,379.3795579519653 
 08/03  14:00:00,36.1,324.4166666666667,464.0833333333333,2.4000000000000004,20.499999999842828,20.5,0.9999999999999999,553.194282412107 
 08/03  15:00:00,36.041666666666664,324.6666666666667,392.25,2.4000000000000004,20.5,20.5,0.9999999999999999,621.9192679917732 
 08/03  16:00:00,35.88333333333333,355.75,133.16666666666666,2.4000000000000004,20.5,20.5,0.9999999999999999,668.4154205050985 
 08/03  17:00:00,34.98333333333333,275.5833333333333,42.0,2.4000000000000004,20.5,20.5,0.9999999999999999,694.3242043475716 
 08/03  18:00:00,34.28333333333333,189.16666666666666,29.666666666666668,0.0,20.5,20.5,0.0,711.3864084108938 
 08/03  19:00:00,33.44166666666667,106.83333333333333,25.583333333333332,0.0,20.5,20.5,0.0,743.7392876615673 
